titulo,categoria,duracion,descripcion,dificultad,url
"Curso de Hacking ético","Ciberseguridad","12h 16m 53s","Aprende los fundamentos de la ciberseguridad y el hacking ético desde cero.","Avanzado","https://www.youtube.com/watch?v=fNzpcB7ODxQ"
"Curso de HTML y CSS Básico","Web","24h 1m 2s","Aprende a crear páginas web estáticas con HTML y CSS desde cero.","Intermedio","https://www.youtube.com/watch?v=ELSm-G201Ls"
"Curso de JavaScript desde Cero","Web","6h 20m 30s","Aprende JavaScript, el lenguaje de programación más popular para desarrollo web.","Principiante","https://www.youtube.com/watch?v=1glVfFxj8a4"
"Curso de Python para Principiantes","Programación","8h 32m 52s","Aprende Python desde cero, ideal para quienes dan sus primeros pasos en programación.","Avanzado","https://www.youtube.com/watch?v=TkN2i-_4N4g"
"Curso de Django - Framework Python","Datos","3h 29m 4s","Aprende a crear aplicaciones web profesionales con Django, el framework de Python.","Intermedio","https://www.youtube.com/watch?v=T1intZyhXDU"
"Curso de Inglés B1/B2","Idiomas","3h 21m 7s","Mejora tu nivel de inglés con este curso completo de nivel intermedio.","Avanzado","https://www.youtube.com/watch?v=44brYSuVuVA"
"Listening Inglés B1/B2","Idiomas","4 horas 20 minutos","Ejercicios de comprensión auditiva en inglés para niveles intermedios.","Intermedio","https://www.youtube.com/watch?v=4YyANSrNatk"
"Vocabulario Inglés B1/B2","Idiomas","4h 7m 13s","Amplía tu vocabulario en inglés con palabras y frases de nivel intermedio.","Intermedio","https://www.youtube.com/watch?v=j8gVyWFZgVQ"
"Curso de SQL desde Cero","Programación","1h 56m 59s","Aprende SQL para gestionar bases de datos relacionales de forma profesional.","Principiante","https://www.youtube.com/watch?v=uUdKAYl-F7g"
"Curso de Git y GitHub","Datos","1h 6m 41s","Aprende a usar Git y GitHub para el control de versiones de tus proyectos.","Intermedio","https://www.youtube.com/watch?v=VdGzPZ31ts8"
"Curso de Docker para Desarrolladores","Programación","1h 29m 25s","Aprende a usar Docker para crear, desplegar y ejecutar aplicaciones en contenedores.","Avanzado","https://www.youtube.com/watch?v=4Dko5W96WHg"
"Introducción a la Ciencia de Datos","Datos","2h 6m 19s","Conoce los fundamentos de la ciencia de datos y el análisis de datos con Python.","Intermedio","https://www.youtube.com/watch?v=UWKQca26LLo"
"Curso de Excel desde Cero","Ofimática","4h 47m 49s","Aprende Excel desde lo más básico hasta funciones avanzadas y tablas dinámicas.","Principiante","https://www.youtube.com/watch?v=jqyGUK4VvjQ"
"Curso de Word Básico a Avanzado","Ofimática","1h 4m 18s","Domina Microsoft Word para crear documentos profesionales de manera eficiente.","Intermedio","https://www.youtube.com/watch?v=2jvEaBEJinI"
"Curso Completo de Microsoft Teams","Ofimática","6 horas 32 minutos","Aprende a usar Microsoft Teams para la colaboración y comunicación en equipo.","Avanzado","https://www.youtube.com/watch?v=ZDvxqqSoyZs&list=PLMd59HZRUmEg539WgqJjbsvto4V3fRwn5"
"Curso de Power BI Completo","Datos","3h 8m 55s","Aprende a crear dashboards y reportes interactivos con Microsoft Power BI.","Intermedio","https://www.youtube.com/watch?v=mlO_OoGM5-I"
"Curso de Linux para Principiantes","Programación","35m 2s","Aprende a usar el sistema operativo Linux desde cero, ideal para desarrolladores.","Principiante","https://www.youtube.com/watch?v=L906Kti3gzE"
"Curso de HTML desde Cero","Programación","1h 33m 55s","Aprende HTML5 desde lo más básico hasta conceptos avanzados para crear páginas web.","Principiante","https://www.youtube.com/watch?v=MJkdaVFHrto"
"Curso de Redes CCNA","Redes","6 horas 32 minutos","Preparación para la certificación CCNA de Cisco sobre redes de computadoras.","Intermedio","https://www.youtube.com/watch?v=TrnIksOSu5M"
"Curso de Fortinet NSE4","Ciberseguridad","5 horas 18 minutos","Preparación para la certificación NSE4 de Fortinet en seguridad de redes.","Avanzado","https://www.youtube.com/watch?v=TrnIksOSu5M&list=PLf0g2cV4iCkGfcElaW4_jPgRQHBWOuYG4"
"Curso de Bootstrap 5","Web","5h 4m 12s","Aprende a crear diseños web responsivos con el framework CSS más popular.","Intermedio","https://www.youtube.com/watch?v=QCw0L6FupQ0"
"Curso de Tailwind CSS","Web","1h 38m 24s","Domina el framework de utilidades CSS para crear diseños modernos y personalizables.","Intermedio","https://www.youtube.com/watch?v=R5EXap3vNDA"
"Curso de C#","Programación","7h 9m 20s","Aprende programación en C# desde cero hasta nivel avanzado.","Principiante","https://www.youtube.com/watch?v=8IKEiKU-1-c"
"Curso de SEO 2025","Web","1h 15m 57s","Aprende las últimas técnicas de posicionamiento en buscadores para 2025.","Intermedio","https://www.youtube.com/watch?v=Q1JsDwRlhsk"
"Curso de Google Ads","Web","1h 15m 12s","Domina la publicidad en Google con este curso completo de Google Ads.","Intermedio","https://www.youtube.com/watch?v=9I_HypyPlXg"
"Curso de Marketing Digital","Web","3h 44m 58s","Aprende las estrategias más efectivas de marketing digital para hacer crecer tu negocio en línea.","Principiante","https://www.youtube.com/watch?v=v17EXDu3t0E"
